,fid1,fid2,inter_marker
0,0.0,1.0,51.83539903704803
1,0.0,2.0,109.90525256331439
2,0.0,3.0,154.564
3,1.0,2.0,58.19508122716151
4,1.0,3.0,115.37312456430223
5,2.0,3.0,83.15403753159508
