,fid1,fid2,inter_marker
0,0.0,1.0,52.01513526753536
1,0.0,2.0,110.01268739274677
2,0.0,3.0,155.081
3,1.0,2.0,58.13403683311717
4,1.0,3.0,116.10786538258293
5,2.0,3.0,84.24807540575765
