,fid1,fid2,inter_marker
0,0.0,1.0,50.31985223527589
1,0.0,2.0,54.76435753501141
2,0.0,3.0,87.0344
3,1.0,2.0,74.65768196456786
4,1.0,3.0,65.14974557878182
5,2.0,3.0,59.506102349780576
