<<<<<<< HEAD
,toolx,tooly,toolz,tool_qx,tool_qy,tool_qz,tool_qw,refx,refy,refz,ref_qx,ref_qy,ref_qz,ref_qw,fid1x,fid1y,fid1z,fid2x,fid2y,fid2z,fid3x,fid3y,fid3z,fid4x,fid4y,fid4z
0,-73.91409301757812,126.12189483642578,1235.46484375,0.023020556753934142,-0.1792455223672259,0.6875457073873853,-0.7032936775851318,-13.246295928955078,126.25889587402344,1116.753662109375,-0.4404259423241948,0.8813249446644082,0.06777756220438058,-0.15715448864653536,-27.725364685058594,-146.36233520507812,1139.1329345703125,-66.86752319335938,-111.57537078857422,1140.4322509765625,-106.18424224853516,-69.1427230834961,1144.0985107421875,-67.67475128173828,-0.5785120129585266,1173.25927734375
1,-73.93375396728516,126.10635375976562,1235.503173828125,0.02291797606127496,-0.1794629181095361,0.6874995545453703,-0.7032867053320305,-13.250075340270996,126.25776672363281,1116.7615966796875,-0.4403914189356208,0.8813418627183492,0.06758870288740151,-0.1572376748429576,-27.7296085357666,-146.36512756347656,1139.1358642578125,-66.87114715576172,-111.578125,1140.4500732421875,-106.18147277832031,-69.14157104492188,1144.0791015625,-67.678955078125,-0.5799081921577454,1173.2806396484375
2,-73.93323516845703,126.1176528930664,1235.4783935546875,0.0228727482487702,-0.17942731186725105,0.6875056012660099,-0.7032913516967936,-13.245820045471191,126.2602310180664,1116.74951171875,-0.44041430787905594,0.8813587019790674,0.06761472033510733,-0.15706790077921967,-27.729305267333984,-146.36434936523438,1139.14208984375,-66.87602996826172,-111.57901000976562,1140.4544677734375,-106.18009948730469,-69.1369857788086,1144.0762939453125,-67.68035125732422,-0.5791745185852051,1173.2694091796875
3,-73.93211364746094,126.11631774902344,1235.481689453125,0.02283291395338457,-0.17948475578171222,0.687485038458125,-0.7032980892755267,-13.248034477233887,126.25685119628906,1116.7579345703125,-0.44040653891571757,0.8813318014599048,0.06771048108075498,-0.15719932241434867,-27.731904983520508,-146.36721801757812,1139.142333984375,-66.87425994873047,-111.57926940917969,1140.451416015625,-106.17724609375,-69.13714599609375,1144.068603515625,-67.6781234741211,-0.5723652243614197,1173.2716064453125
4,-73.95645141601562,126.08468627929688,1235.5697021484375,0.022913027238990635,-0.1796587283381014,0.6874688119858994,-0.7032669244756059,-13.246238708496094,126.25804901123047,1116.75244140625,-0.44041698587086464,0.8813253763519004,0.06780035022087989,-0.15716733777897252,-27.731727600097656,-146.36697387695312,1139.152587890625,-66.87139892578125,-111.57455444335938,1140.427978515625,-106.18194580078125,-69.13629150390625,1144.096435546875,-67.68980407714844,-0.5796536207199097,1173.3140869140625
5,-73.93473815917969,126.11772155761719,1235.476806640625,0.022829108478836704,-0.17947139973004342,0.6874971086302533,-0.703289822271048,-13.242830276489258,126.25663757324219,1116.7418212890625,-0.44040043119441996,0.8813495013594551,0.0677676109082271,-0.1570925446003084,-27.731361389160156,-146.366943359375,1139.1490478515625,-66.86836242675781,-111.57518005371094,1140.4454345703125,-106.17430114746094,-69.14107513427734,1144.07421875,-67.67855072021484,-0.5760067105293274,1173.2685546875
6,-73.96060943603516,126.09537506103516,1235.5340576171875,0.02267619839404331,-0.17981151298934048,0.6874254699234457,-0.7032779202587042,-13.25065803527832,126.25868225097656,1116.7620849609375,-0.4404411365058601,0.881290203808652,0.06777405826697577,-0.15730816561881134,-27.73347282409668,-146.3677215576172,1139.1646728515625,-66.87024688720703,-111.57503509521484,1140.435546875,-106.1619873046875,-69.13731384277344,1144.0567626953125,-67.68119049072266,-0.5765487551689148,1173.29638671875
7,-73.95570373535156,126.09850311279297,1235.51953125,0.022645632449078676,-0.17979914392349997,0.6874214067217352,-0.7032860390737672,-13.248309135437012,126.25862884521484,1116.7591552734375,-0.4404227971046484,0.8813120839420481,0.06776649449313941,-0.15724017524905515,-27.7371768951416,-146.36874389648438,1139.1649169921875,-66.86783599853516,-111.5763931274414,1140.440185546875,-106.15965270996094,-69.14102172851562,1144.0501708984375,-67.67790222167969,-0.5790008306503296,1173.2890625
8,-73.97219848632812,126.09211730957031,1235.5382080078125,0.02262777883212702,-0.17988550805593803,0.6874173095852879,-0.7032685334202761,-13.249178886413574,126.25911712646484,1116.7584228515625,-0.44040604217512574,0.8813257899393755,0.06766366315699673,-0.15725456652051045,-27.735673904418945,-146.36573791503906,1139.1639404296875,-66.86900329589844,-111.57408142089844,1140.438232421875,-106.16069030761719,-69.13783264160156,1144.0447998046875,-67.68399810791016,-0.5797324180603027,1173.2965087890625
9,-73.95613861083984,126.0996322631836,1235.518310546875,0.022701608666053565,-0.17974556466440664,0.6874390270310448,-0.703280707158996,-13.25166130065918,126.25824737548828,1116.76904296875,-0.440411313447845,0.8813064672425409,0.06786345332641533,-0.15726200267779109,-27.736270904541016,-146.36404418945312,1139.1505126953125,-66.86910247802734,-111.57778930664062,1140.4510498046875,-106.16403198242188,-69.137939453125,1144.0479736328125,-67.68102264404297,-0.579740047454834,1173.286865234375
