,toolx,tooly,toolz,tool_qx,tool_qy,tool_qz,tool_qw,refx,refy,refz,ref_qx,ref_qy,ref_qz,ref_qw,fid1x,fid1y,fid1z,fid2x,fid2y,fid2z,fid3x,fid3y,fid3z,fid4x,fid4y,fid4z,IMD12,IMD13,IMD14,IMD23,IMD24,IMD34,IMD12_abs_e,IMD13_abs_e,IMD14_abs_e,IMD23_abs_e,IMD24_abs_e,IMD34_abs_e,IMD_abs_e_RMS
0,-181.6715545654297,-44.48093032836914,1236.361572265625,0.2676341977631202,-0.1399794173873283,0.6840831956763097,-0.6639336414799921,113.54391479492188,40.73398971557617,1414.9482421875,0.17559912387225338,0.9840674990154334,-0.020142466887528375,0.01924541775311413,-181.68609619140625,-44.4537353515625,1236.4029541015625,-219.4408416748047,-18.932838439941406,1261.682861328125,-257.7411193847656,12.79427719116211,1290.93701171875,-216.57833862304688,77.44377136230469,1325.678955078125,52.11344063745353,109.70717812991597,155.06990383479595,57.70031589174229,115.72443499950435,84.14828723751864,0.09032795922124848,0.02244600884446868,0.02986191960658857,0.11632680371209148,0.06421972464060843,0.05064534135840404,0.07044589728863818
1,-181.6175994873047,-44.259521484375,1236.096923828125,0.26796779189027553,-0.14049334581099776,0.6840571529468813,-0.6637173297379605,113.54402160644531,40.73373031616211,1414.9483642578125,0.17560403063673696,0.9840676659160464,-0.020073468016278677,0.019264194882622286,-181.63275146484375,-44.22959899902344,1236.1373291015625,-219.39736938476562,-18.747817993164062,1261.445556640625,-257.7067565917969,12.937166213989258,1290.71923828125,-216.55618286132812,77.5505599975586,1325.5601806640625,52.11519846491253,109.70176894961659,155.06933793405665,57.69311752005147,115.72439223505047,84.15552055985276,0.08857013176224626,0.0170368285450877,0.030427820345892087,0.1091284320212722,0.06417696018672814,0.04341201902428793,0.06704858227217748
2,-181.5702667236328,-44.04019546508789,1235.838134765625,0.26827957421681,-0.14100660828731798,0.6840029908905686,-0.6635383296616035,113.54378509521484,40.7324104309082,1414.9437255859375,0.1756086658195168,0.9840640915530644,-0.02015212747889307,0.019322317744147985,-181.5901641845703,-44.01011657714844,1235.8873291015625,-219.35540771484375,-18.557279586791992,1261.194091796875,-257.66943359375,13.086219787597656,1290.5133056640625,-216.5325927734375,77.66283416748047,1325.442626953125,52.10079431136705,109.69067497065359,155.06589448320042,57.69655044711404,115.73311040839805,84.15721171211871,0.10297428530772379,0.005942849582083909,0.033871271202116304,0.11256135908384124,0.07289513353430266,0.041720866758339525,0.07246915974340565
3,-181.51840209960938,-43.82476043701172,1235.5675048828125,0.2685986957088352,-0.14144811781376546,0.6839660853697989,-0.6633532729205222,113.54686737060547,40.734500885009766,1414.9530029296875,0.17559576521121506,0.9840666379493199,-0.020188305592937942,0.01927204276396533,-181.53851318359375,-43.793006896972656,1235.6134033203125,-219.31103515625,-18.37348175048828,1260.9539794921875,-257.62884521484375,13.235692024230957,1290.289306640625,-216.50428771972656,77.77257537841797,1325.3031005859375,52.10624219390753,109.68803732934289,155.06462516791476,57.688437778403404,115.72705611975722,84.15583347983633,0.09752640276724378,0.0033052082713851405,0.03514058648778473,0.10444869037320359,0.06684084489347697,0.04309909904071674,0.06830317740536682
4,-181.471923828125,-43.607337951660156,1235.3199462890625,0.2689046949875258,-0.14186533778844682,0.6839462077567401,-0.6631606712124972,113.54524993896484,40.73417282104492,1414.947021484375,0.17559903130792853,0.9840655163029509,-0.020195353708001948,0.01929216202846451,-181.49557495117188,-43.56740951538086,1235.36279296875,-219.27210998535156,-18.1894588470459,1260.744140625,-257.595703125,13.385013580322266,1290.07958984375,-216.48406982421875,77.88394165039062,1325.1778564453125,52.10873044088174,109.67559375177805,155.0528010091134,57.673335962694246,115.713331926333,84.15560844816058,0.0950381557930342,0.009138369293452797,0.04696474528913086,0.08934687466404512,0.05311665146925293,0.04332413071647068,0.06324907262539378
5,-181.37823486328125,-43.154170989990234,1234.7880859375,0.2696204697900949,-0.14298396346645895,0.6838171937497961,-0.6627627282774317,113.54680633544922,40.73400115966797,1414.9664306640625,0.17560371716636997,0.9840633604605881,-0.02028487116955096,0.019265542245234597,-181.40240478515625,-43.12278747558594,1234.81591796875,-219.19134521484375,-17.81041145324707,1260.2750244140625,-257.52716064453125,13.688570022583008,1289.6500244140625,-216.44004821777344,78.10814666748047,1324.97021484375,52.12376137318275,109.67811096609053,155.08827517106945,57.66030873723928,115.72988849842984,84.17570026240496,0.08000722349202505,0.006621154980976485,0.01149058333308517,0.07631964920908274,0.06967322356609884,0.023232316472089565,0.054460714396813735
6,-181.33660888671875,-42.926212310791016,1234.517822265625,0.27007042451469077,-0.1432369072144741,0.6838171910799207,-0.6625248700219895,113.54568481445312,40.73530960083008,1414.94921875,0.17560194100457813,0.9840655324515435,-0.02019079428391175,0.019269612929940044,-181.3549346923828,-42.89613342285156,1234.545166015625,-219.15286254882812,-17.619510650634766,1260.0386962890625,-257.49688720703125,13.840594291687012,1289.464111328125,-216.41812133789062,78.2203369140625,1324.831787109375,52.12975249138123,109.69386381532028,155.08159269602785,57.67024779027635,115.71905551275673,84.16108813235842,0.07401610529354485,0.009131694248779354,0.018173058374685525,0.08625870224614829,0.058840237892979985,0.03784444651863339,0.055116499607894005
7,-181.29327392578125,-42.6998291015625,1234.2545166015625,0.2704696490864649,-0.14364960595015938,0.6837769788314669,-0.6623141270224575,113.54576110839844,40.73624801635742,1414.9661865234375,0.17560164568338948,0.9840656623429936,-0.02022470033575138,0.01923007350634813,-181.3123016357422,-42.67091751098633,1234.2769775390625,-219.11305236816406,-17.425708770751953,1259.8150634765625,-257.4630126953125,13.988471984863281,1289.261474609375,-216.39352416992188,78.33179473876953,1324.714599609375,52.13838464724271,109.6928080185559,155.0848542960354,57.65987632871709,115.71017717664807,84.1646608917078,0.06538394943206782,0.008075897484388861,0.014911458367151909,0.0758872406868889,0.04996190178432869,0.03427168716925166,0.048291210422727084
8,-181.24151611328125,-42.465457916259766,1233.982666015625,0.2708950471601883,-0.14406502462579346,0.6837715056310558,-0.6620556397997738,113.54523468017578,40.73571014404297,1414.9512939453125,0.1755995808517058,0.9840658224535931,-0.02019600878532844,0.019270846182289133,-181.2589874267578,-42.43867111206055,1234.0001220703125,-219.0695037841797,-17.23834800720215,1259.57666015625,-257.4256286621094,14.137537956237793,1289.0574951171875,-216.37701416015625,78.44634246826172,1324.5987548828125,52.14259997608039,109.69748856030077,155.09537252109294,57.660715965344714,115.71811567075774,84.16526739708786,0.06116862059438688,0.01275643922926406,0.004393233309599509,0.07672687731451333,0.05790039589399498,0.03366518178918909,0.04881332024178
9,-181.19200134277344,-42.242759704589844,1233.722900390625,0.2712043163996817,-0.14460207247912982,0.6837082120296346,-0.6618772848528358,113.54546356201172,40.736637115478516,1414.9571533203125,0.17559784791027377,0.9840668713735665,-0.02015857869538225,0.019272264508955524,-181.21096801757812,-42.215938568115234,1233.7464599609375,-219.02586364746094,-17.045833587646484,1259.3262939453125,-257.3904724121094,14.291868209838867,1288.8497314453125,-216.34962463378906,78.55803680419922,1324.4810791015625,52.13279603948875,109.69420971469614,155.09303474566056,57.667392185090726,115.72557330994833,84.16700391461347,0.07097255718602469,0.009477593624637848,0.006731008741979849,0.08340309706052551,0.06535803508458571,0.03192866426357455,0.05388169770305957
