,toolx,tooly,toolz,tool_qx,tool_qy,tool_qz,tool_qw,refx,refy,refz,ref_qx,ref_qy,ref_qz,ref_qw,fid1x,fid1y,fid1z,fid2x,fid2y,fid2z,fid3x,fid3y,fid3z,fid4x,fid4y,fid4z,IMD12,IMD13,IMD14,IMD23,IMD24,IMD34,IMD12_abs_e,IMD13_abs_e,IMD14_abs_e,IMD23_abs_e,IMD24_abs_e,IMD34_abs_e,IMD_abs_e_RMS
2196,-359.151611328125,-201.59559631347656,1285.429931640625,0.5668877302156053,0.6791362663920064,-0.048839891938924046,0.463709928681195,-405.2108154296875,102.8757095336914,1413.9041748046875,-0.4097688846546708,0.1079500121287559,0.21292896288652607,-0.8803962248978223,-359.2261657714844,-201.51475524902344,1285.5948486328125,-393.28399658203125,-179.9056854248047,1317.9075927734375,-427.3014831542969,-151.8614044189453,1355.828857421875,-385.07232666015625,-85.21098327636719,1384.4984130859375,51.681729577146434,109.69284423337551,154.84349023864124,58.15232929442047,116.05539835690016,83.94953078287229,0.27135853557913947,0.2509905156281178,0.1672252322874499,0.030493927630111273,0.1105111552689948,0.014864905618523494,0.17222056234219008
2197,-358.95343017578125,-201.72508239746094,1285.5994873046875,0.5669339515792212,0.6793721027709039,-0.0489173081190705,0.46329961956577675,-405.2064208984375,102.88298797607422,1413.916748046875,-0.4097503436738673,0.10807835332835304,0.21294927842948902,-0.8803841946657944,-359.0255432128906,-201.64649963378906,1285.7515869140625,-393.12091064453125,-180.0293426513672,1318.0601806640625,-427.16436767578125,-151.9723663330078,1355.909423828125,-384.97979736328125,-85.283935546875,1384.5865478515625,51.70726048055331,109.69293960337009,154.86193571340056,58.12672444633257,116.05484662012259,83.95988456056082,0.245827632172265,0.2508951456335353,0.148779757528132,0.004889079542209629,0.1099594184914281,0.004511127929987424,0.1620958266895279
2198,-358.7669677734375,-201.85394287109375,1285.7596435546875,0.5669214644605474,0.6795892722847802,-0.04921805670424141,0.46296442306467717,-405.211181640625,102.88481903076172,1413.916259765625,-0.4098935896545294,0.10795428235341001,0.2129285354205985,-0.8803377515961265,-358.8367004394531,-201.7791748046875,1285.9205322265625,-392.9496154785156,-180.14794921875,1318.168701171875,-427.04046630859375,-152.0857391357422,1356.0303955078125,-384.8895263671875,-85.3560562133789,1384.6466064453125,51.68699346196711,109.71136749048262,154.85454469273049,58.16512394080722,116.0593809459985,83.95498704235904,0.26609465075846117,0.23246725852101235,0.15617077819820224,0.043288574016862924,0.11449374436733706,0.00940864613177439,0.1654831019426023
2199,-358.5744934082031,-201.977783203125,1285.9044189453125,0.5668846148759508,0.6798164657657224,-0.04953377364859201,0.46264220684982604,-405.2106628417969,102.88391876220703,1413.91748046875,-0.4098750814201305,0.10800436280221423,0.21293463316840536,-0.8803387514155933,-358.6331481933594,-201.89883422851562,1286.0479736328125,-392.79248046875,-180.27194213867188,1318.3203125,-426.9010009765625,-152.19708251953125,1356.107666015625,-384.79638671875,-85.42898559570312,1384.6934814453125,51.73090274608467,109.72294355942581,154.85695626052043,58.133234896925664,116.03672469056184,83.95192762771474,0.22218536664090038,0.22089118957781295,0.15375921040825347,0.011399530135307145,0.091837488930679,0.01246806077607232,0.14749049447774387
2200,-358.20770263671875,-202.23731994628906,1286.22412109375,0.5669291560632382,0.6802488185567744,-0.04995110153928931,0.4619066619053556,-405.21600341796875,102.88453674316406,1413.9195556640625,-0.4097660985332847,0.10798390301632944,0.2129372532839594,-0.8803913603313319,-358.27496337890625,-202.15805053710938,1286.3824462890625,-392.46514892578125,-180.512939453125,1318.5548095703125,-426.6451721191406,-152.4227294921875,1356.302734375,-384.6253662109375,-85.57405853271484,1384.8245849609375,51.696620592341304,109.71296317502852,154.8451664966773,58.157026301286066,116.04540677579475,83.95180080532786,0.2564675203842697,0.23087157397510794,0.16554897425137938,0.035190934495709314,0.10051957416358448,0.012594883162947212,0.1622677588124442
2201,-358.021240234375,-202.34963989257812,1286.356201171875,0.566837572838741,0.6804823941281775,-0.05018768594053038,0.4616492970641281,-405.21051025390625,102.88435363769531,1413.9215087890625,-0.40977681044952335,0.10806171970029475,0.2129402777466317,-0.8803760948971852,-358.085205078125,-202.278564453125,1286.5074462890625,-392.3014831542969,-180.63290405273438,1318.6629638671875,-426.51153564453125,-152.53927612304688,1356.3936767578125,-384.5439453125,-85.64647674560547,1384.8963623046875,51.70363246689796,109.728048955119,154.86603117706082,58.16516411797601,116.05801925985133,83.95432287983665,0.24945564582761648,0.2157857938846348,0.14468429386786852,0.043328751185654824,0.1131320582201738,0.010072808654157939,0.15518960323872832
2202,-357.84539794921875,-202.4786376953125,1286.5174560546875,0.5668270313541603,0.6806832106203488,-0.050507579222753334,0.4613311909538103,-405.2087097167969,102.88417053222656,1413.924072265625,-0.4098140562317475,0.10807518351161688,0.21295367065364446,-0.8803538653172096,-357.907958984375,-202.40577697753906,1286.6710205078125,-392.14898681640625,-180.75582885742188,1318.79736328125,-426.3817138671875,-152.65463256835938,1356.5003662109375,-384.45849609375,-85.71670532226562,1384.9595947265625,51.70367627736063,109.72679253081756,154.86095145814056,58.164192284649964,116.05610505143213,83.95337980204829,0.2494118353649455,0.21704221818606584,0.14976401278812546,0.042356917859606824,0.1112178498009655,0.011015886442521605,0.15600625841114538
2203,-357.6559753417969,-202.59999084472656,1286.6678466796875,0.5668289994719419,0.6809133040605057,-0.050668867961286425,0.4609713912278769,-405.2139587402344,102.8886947631836,1413.917724609375,-0.4098710087161618,0.10801657389789307,0.21292515866852438,-0.8803414410235048,-357.7215270996094,-202.52734375,1286.820556640625,-391.98431396484375,-180.87474060058594,1318.9180908203125,-426.2490234375,-152.76544189453125,1356.5811767578125,-384.37237548828125,-85.78662872314453,1385.0283203125,51.70131030578142,109.72150541141633,154.86583583943977,58.16107831984597,116.06141939205071,83.95865073791582,0.25177780694415475,0.222329337587297,0.14487963148891936,0.03924295305561287,0.11653219041954799,0.005744950574992913,0.15756758934268564
2204,-357.46722412109375,-202.72447204589844,1286.8070068359375,0.566811053523617,0.6811230837104647,-0.05099645139141149,0.4606473015069968,-405.21624755859375,102.88602447509766,1413.9130859375,-0.4099240999271651,0.10794292584807347,0.2129262385968674,-0.8803254931985389,-357.5303649902344,-202.64865112304688,1286.95556640625,-391.81903076171875,-180.99375915527344,1319.04296875,-426.1103515625,-152.87574768066406,1356.6602783203125,-384.277587890625,-85.85580444335938,1385.065673828125,51.71313504027962,109.723759224515,154.8598597014734,58.15134762717956,116.04784088115235,83.95546082247266,0.23995307244595665,0.220075524488621,0.15085576945529056,0.02951226038920396,0.1029536795211925,0.00893486601815141,0.1529261488999068
2205,-357.2874755859375,-202.83607482910156,1286.9566650390625,0.5667391022218905,0.6813476459643442,-0.051217503182362026,0.4603791293264031,-405.2145690917969,102.88785552978516,1413.9149169921875,-0.4099367624105882,0.10799305602863202,0.2129167042370357,-0.8803157545623959,-357.3497314453125,-202.7674102783203,1287.1016845703125,-391.657958984375,-181.10910034179688,1319.1641845703125,-425.984619140625,-152.98867797851562,1356.768310546875,-384.19903564453125,-85.9276351928711,1385.1510009765625,51.71209503035626,109.73654256118165,154.87442211589837,58.16483509675921,116.05777347820344,83.957105498192,0.2409930823693145,0.20729218782197734,0.13629335503031825,0.04299972996885515,0.1128862765722829,0.007290190298803623,0.14959335468621074
