<<<<<<< HEAD
,toolx,tooly,toolz,tool_qx,tool_qy,tool_qz,tool_qw,refx,refy,refz,ref_qx,ref_qy,ref_qz,ref_qw,fid1x,fid1y,fid1z,fid2x,fid2y,fid2z,fid3x,fid3y,fid3z,fid4x,fid4y,fid4z
0,-73.98808288574219,126.16165924072266,1235.5802001953125,0.02381599249761416,-0.1787022474649651,0.6876617037187728,-0.7032920349974957,-13.282937049865723,126.23995208740234,1116.7645263671875,-0.44039046126663955,0.8813417396325106,0.06785671384709055,-0.15712557396162563,-27.844167709350586,-146.27053833007812,1139.0657958984375,-67.0119400024414,-111.5086441040039,1140.4661865234375,-106.3297348022461,-69.08708953857422,1144.203369140625,-67.80538940429688,-0.5067676305770874,1173.323974609375
1,-73.95551300048828,126.18414306640625,1235.5308837890625,0.023936104281865444,-0.1784084457148835,0.6877041437799027,-0.7033210504722277,-13.289498329162598,126.23815155029297,1116.78955078125,-0.4403887471586619,0.8813019335628252,0.06780841448493395,-0.15737430603338404,-27.846620559692383,-146.26974487304688,1139.0518798828125,-67.01651000976562,-111.51007080078125,1140.483642578125,-106.3359375,-69.08747863769531,1144.217041015625,-67.80059051513672,-0.5006235837936401,1173.3026123046875
2,-73.95170593261719,126.19933319091797,1235.4898681640625,0.023839302293003024,-0.1783679027648592,0.6877039823783193,-0.703334779141803,-13.290172576904297,126.23735809326172,1116.79150390625,-0.4403843486811316,0.881297805725201,0.06780639576774128,-0.15741059606528984,-27.849822998046875,-146.2730712890625,1139.064697265625,-67.01947021484375,-111.511474609375,1140.49462890625,-106.33659362792969,-69.09001922607422,1144.2078857421875,-67.79698181152344,-0.5003949999809265,1173.286376953125
3,-73.97526550292969,126.17262268066406,1235.5545654296875,0.023908511456637485,-0.17853032729449378,0.6876979436362894,-0.7032971232946057,-13.287925720214844,126.24031066894531,1116.7835693359375,-0.4403725017726733,0.8813334865916687,0.06774234241731829,-0.15727148545895053,-27.84398651123047,-146.27035522460938,1139.0625,-67.01051330566406,-111.50508117675781,1140.453125,-106.33827209472656,-69.09152221679688,1144.21923828125,-67.80370330810547,-0.5012056827545166,1173.311279296875
4,-73.95777130126953,126.19263458251953,1235.5067138671875,0.023834039218625154,-0.17842226360381808,0.6876976565686795,-0.7033273544907528,-13.29146957397461,126.23657989501953,1116.7958984375,-0.4403718376075008,0.8813001733706383,0.06776684092436598,-0.15744937068850892,-27.849328994750977,-146.27294921875,1139.065185546875,-67.01957702636719,-111.51138305664062,1140.4971923828125,-106.33333587646484,-69.09371948242188,1144.2066650390625,-67.79788970947266,-0.4996393024921417,1173.2958984375
5,-73.97290802001953,126.1859359741211,1235.5279541015625,0.023795683500108186,-0.17853422519551412,0.6876840870310978,-0.7033135092722205,-13.28954792022705,126.2408218383789,1116.78955078125,-0.44040753173302205,0.8812948184104886,0.06792769409435487,-0.1573101313033421,-27.846298217773438,-146.2727813720703,1139.074951171875,-67.02088165283203,-111.51013946533203,1140.479736328125,-106.3322525024414,-69.08789825439453,1144.2083740234375,-67.80307006835938,-0.497778981924057,1173.3050537109375
6,-73.9674072265625,126.1976089477539,1235.4920654296875,0.02373494598936945,-0.17849334203820214,0.6876865486469669,-0.7033235315250997,-13.290291786193848,126.23937225341797,1116.790283203125,-0.4404041717612546,0.8812939999021455,0.06792033415944485,-0.15732730036274642,-27.851741790771484,-146.27545166015625,1139.0789794921875,-67.0145492553711,-111.50894165039062,1140.4783935546875,-106.33106231689453,-69.09004974365234,1144.199951171875,-67.80037689208984,-0.49760738015174866,1173.286376953125
7,-73.99028015136719,126.17156219482422,1235.5565185546875,0.023762001768102486,-0.1786860049529739,0.6876663462828878,-0.7032934487792859,-13.284424781799316,126.23919677734375,1116.7694091796875,-0.44038891752146575,0.8813286173689037,0.06790643838661146,-0.15718201282759248,-27.84633445739746,-146.27317810058594,1139.0791015625,-67.0086898803711,-111.5088119506836,1140.4515380859375,-106.333740234375,-69.0879135131836,1144.2042236328125,-67.80517578125,-0.4984215199947357,1173.3143310546875
8,-73.98489379882812,126.16924285888672,1235.5633544921875,0.023869412173619934,-0.17859014991855085,0.6876880176093041,-0.7032929687912006,-13.287542343139648,126.23672485351562,1116.778564453125,-0.4403930083298386,0.8813067501677145,0.0678961875117367,-0.1572975462122261,-27.845081329345703,-146.27023315429688,1139.0509033203125,-67.02074432373047,-111.51238250732422,1140.488525390625,-106.33138275146484,-69.08936309814453,1144.200927734375,-67.81072998046875,-0.49966156482696533,1173.318603515625
9,-73.99618530273438,126.16950988769531,1235.556884765625,0.023777405610562814,-0.17871030210882802,0.68766930376175,-0.7032838627228923,-13.287970542907715,126.23748016357422,1116.7843017578125,-0.44036962652269424,0.8813037464666016,0.06786915131426566,-0.15739147626245914,-27.84187889099121,-146.26913452148438,1139.04931640625,-67.01753997802734,-111.50399780273438,1140.4691162109375,-106.3236312866211,-69.08464050292969,1144.1795654296875,-67.81077575683594,-0.4993608593940735,1173.3074951171875
10,-73.97522735595703,126.182373046875,1235.536865234375,0.023839161280947527,-0.17852596717809593,0.6876881341314466,-0.703310175958912,-13.285980224609375,126.23851776123047,1116.7772216796875,-0.4403958907493062,0.8813043836312093,0.06792505947385595,-0.15729027019816771,-27.8468017578125,-146.26834106445312,1139.0599365234375,-67.02928924560547,-111.50940704345703,1140.4910888671875,-106.33080291748047,-69.08766174316406,1144.202880859375,-67.80724334716797,-0.49999698996543884,1173.30712890625
11,-73.9683609008789,126.18102264404297,1235.5443115234375,0.023928681749108362,-0.1784516511468301,0.6877058875631518,-0.7033086368044242,-13.287215232849121,126.23687744140625,1116.7801513671875,-0.44037652909864955,0.8813047177706924,0.06781273815914096,-0.15739104039781368,-27.8449649810791,-146.27003479003906,1139.0592041015625,-67.02243041992188,-111.50589752197266,1140.4788818359375,-106.33771514892578,-69.08580780029297,1144.22265625,-67.80754089355469,-0.5013449192047119,1173.3096923828125
12,-73.97909545898438,126.16365814208984,1235.579833984375,0.0239136586995363,-0.17861036513254433,0.6876783850963069,-0.7032957507806773,-13.289457321166992,126.23828887939453,1116.784423828125,-0.4404038429678502,0.8812939510422497,0.06793444447002978,-0.15732240212391307,-27.843563079833984,-146.26893615722656,1139.048583984375,-67.0157470703125,-111.50782775878906,1140.4666748046875,-106.33168029785156,-69.08536529541016,1144.208740234375,-67.80754089355469,-0.4996773600578308,1173.322265625
13,-73.96097564697266,126.1806411743164,1235.538330078125,0.02391438174573358,-0.17847326473024402,0.6876941270536047,-0.703315138283137,-13.287075996398926,126.23684692382812,1116.7783203125,-0.440404616071836,0.8812924038839112,0.06789876038803222,-0.15734430824438608,-27.84760093688965,-146.2703857421875,1139.050048828125,-67.01062774658203,-111.50708770751953,1140.4720458984375,-106.33429718017578,-69.08851623535156,1144.2103271484375,-67.8006362915039,-0.4948253631591797,1173.304443359375
14,-73.96237182617188,126.17681884765625,1235.544677734375,0.023947004966326128,-0.1784682760757822,0.6876993899003407,-0.7033101481696252,-13.284046173095703,126.23926544189453,1116.773681640625,-0.44040270688059574,0.8813140707099688,0.06787526951734066,-0.15723839330397804,-27.842758178710938,-146.27182006835938,1139.04443359375,-67.01518249511719,-111.50505065917969,1140.468017578125,-106.33245849609375,-69.08597564697266,1144.2130126953125,-67.80379486083984,-0.49966180324554443,1173.30419921875
15,-73.95983123779297,126.17061614990234,1235.5594482421875,0.02398046381172482,-0.17848962869642268,0.6876935982344486,-0.7033092525699804,-13.287107467651367,126.23799133300781,1116.7861328125,-0.44040649064468823,0.8812962354721486,0.06791007931577234,-0.15731271235337194,-27.841352462768555,-146.26870727539062,1139.0306396484375,-67.01387786865234,-111.50496673583984,1140.476318359375,-106.32923889160156,-69.08578491210938,1144.20654296875,-67.80170440673828,-0.5006142258644104,1173.3094482421875
16,-73.9457015991211,126.19062805175781,1235.5152587890625,0.02400180777296013,-0.17830591641842686,0.6877261712984315,-0.7033232732570529,-13.284658432006836,126.23828125,1116.7705078125,-0.44042375542079554,0.8812991282324741,0.0680646570826788,-0.15718131152888884,-27.844797134399414,-146.2670135498047,1139.04736328125,-67.0141372680664,-111.50724792480469,1140.467529296875,-106.3342514038086,-69.08329010009766,1144.228759765625,-67.80125427246094,-0.5024254322052002,1173.2900390625
17,-73.94351959228516,126.19678497314453,1235.5062255859375,0.02391044449698599,-0.1783570260608111,0.6877018978029251,-0.7033371607251779,-13.283011436462402,126.23714447021484,1116.77587890625,-0.4403986368514121,0.8813096698581058,0.06797768879956892,-0.15723021433389803,-27.849946975708008,-146.26620483398438,1139.0546875,-67.0159683227539,-111.50404357910156,1140.4853515625,-106.33064270019531,-69.0831298828125,1144.215576171875,-67.79656219482422,-0.5016668438911438,1173.2889404296875
18,-73.9592056274414,126.19538116455078,1235.5130615234375,0.023796732244088382,-0.17848941413177807,0.6876822250173674,-0.7033266680373784,-13.279808044433594,126.23865509033203,1116.770751953125,-0.44039696806164985,0.8813242121671006,0.06811412521239651,-0.1570942695221429,-27.850614547729492,-146.2679443359375,1139.0782470703125,-67.00923919677734,-111.50360107421875,1140.4700927734375,-106.3287582397461,-69.08030700683594,1144.214111328125,-67.79812622070312,-0.5001872777938843,1173.2940673828125
19,-73.96247863769531,126.1778335571289,1235.5548095703125,0.02387725849843946,-0.17853454912785055,0.6876814732255417,-0.7033132180448926,-13.280381202697754,126.23780059814453,1116.772216796875,-0.44037507927114106,0.8813393646857886,0.0679060540061251,-0.15716068732830157,-27.845834732055664,-146.26707458496094,1139.06494140625,-67.00918579101562,-111.50325775146484,1140.478759765625,-106.32364654541016,-69.08566284179688,1144.2181396484375,-67.79917907714844,-0.5042300820350647,1173.3140869140625
20,-73.96253204345703,126.18452453613281,1235.5462646484375,0.023854671138296413,-0.17850967984280502,0.6876835657025157,-0.7033182510997258,-13.282487869262695,126.2383041381836,1116.780517578125,-0.4403665134968099,0.8813505114103292,0.06768069829657393,-0.15721937827603613,-27.84703254699707,-146.26760864257812,1139.07763671875,-67.0113296508789,-111.50638580322266,1140.479736328125,-106.32970428466797,-69.07910919189453,1144.2264404296875,-67.80101013183594,-0.5037707686424255,1173.3131103515625
21,-73.94474792480469,126.19902038574219,1235.509521484375,0.023916779221518445,-0.17830326283167475,0.6877192990012844,-0.7033335623418165,-13.282828330993652,126.2370376586914,1116.780517578125,-0.44039307677576134,0.8813243423109419,0.06785098047328637,-0.1572182751049563,-27.84689712524414,-146.26754760742188,1139.076416015625,-67.01702117919922,-111.51274108886719,1140.5003662109375,-106.33692932128906,-69.0838851928711,1144.237548828125,-67.79706573486328,-0.505524218082428,1173.3004150390625
22,-73.96392059326172,126.19351959228516,1235.5340576171875,0.02381558933602196,-0.17848195667510763,0.6876915520112462,-0.7033188026338885,-13.280685424804688,126.2394790649414,1116.7744140625,-0.4404137875691154,0.881309638407757,0.06803242957363799,-0.15716426277917894,-27.847681045532227,-146.26718139648438,1139.0926513671875,-67.01234436035156,-111.5073471069336,1140.4898681640625,-106.32854461669922,-69.0771484375,1144.2335205078125,-67.80268859863281,-0.502399206161499,1173.3125
23,-73.96607971191406,126.19464111328125,1235.5208740234375,0.023756996506625903,-0.17852555834287157,0.6876807960616933,-0.7033202349309352,-13.281105041503906,126.23950958251953,1116.780517578125,-0.4403933984768082,0.8813367119461342,0.06790434230857706,-0.15712496634737508,-27.84978675842285,-146.2671356201172,1139.0882568359375,-67.00906372070312,-111.50653076171875,1140.4886474609375,-106.32693481445312,-69.08133697509766,1144.2147216796875,-67.79885864257812,-0.5020837783813477,1173.303466796875
24,-73.96183776855469,126.17948150634766,1235.562744140625,0.023927661096531078,-0.178472617483469,0.6877005317025204,-0.7033085884155827,-13.282857894897461,126.23702239990234,1116.783447265625,-0.440390572580608,0.8813161602430092,0.06781666735420969,-0.15728594630675402,-27.841869354248047,-146.2661895751953,1139.07080078125,-67.00799560546875,-111.50715637207031,1140.491943359375,-106.33502197265625,-69.0845718383789,1144.2330322265625,-67.79847717285156,-0.5014602541923523,1173.3250732421875
25,-73.96166229248047,126.18561553955078,1235.5528564453125,0.0239058521993712,-0.1784516153337549,0.6877059006885428,-0.7033094094163361,-13.279594421386719,126.23831939697266,1116.779052734375,-0.4404102081598129,0.881300692217122,0.06809588980534548,-0.15719697273761327,-27.842426300048828,-146.2649383544922,1139.0751953125,-67.00940704345703,-111.50920867919922,1140.5006103515625,-106.33000183105469,-69.081298828125,1144.234375,-67.80099487304688,-0.5006158947944641,1173.322021484375
26,-73.9275131225586,126.2060317993164,1235.499267578125,0.02401561881449498,-0.17815015915460894,0.6877497952384175,-0.7033391713786877,-13.278603553771973,126.23701477050781,1116.779052734375,-0.4403973110743064,0.8813232587200841,0.067990468008805,-0.15715221378484007,-27.843883514404297,-146.26608276367188,1139.070068359375,-67.0132064819336,-111.51105499267578,1140.511474609375,-106.33624267578125,-69.08863830566406,1144.252685546875,-67.79228210449219,-0.5023121237754822,1173.298828125
27,-73.95167541503906,126.19107055664062,1235.5474853515625,0.023977235245464874,-0.1783159585267252,0.6877318592065033,-0.7033160036264248,-13.283754348754883,126.23837280273438,1116.792724609375,-0.4403928764089445,0.8813009101016106,0.06776061034883077,-0.1573890718807468,-27.841529846191406,-146.2661590576172,1139.085205078125,-67.01622772216797,-111.5096206665039,1140.51220703125,-106.33468627929688,-69.08567810058594,1144.259521484375,-67.80110168457031,-0.5042693614959717,1173.325927734375
28,-73.94703674316406,126.19800567626953,1235.5196533203125,0.0239844769691354,-0.1782395283898796,0.6877528758406561,-0.7033145790873223,-13.281120300292969,126.23653411865234,1116.78955078125,-0.44039806858744357,0.8812946434806012,0.06792476752677275,-0.1573388652345098,-27.839786529541016,-146.26608276367188,1139.073486328125,-67.01245880126953,-111.51251983642578,1140.5201416015625,-106.33226776123047,-69.09050750732422,1144.2490234375,-67.79901885986328,-0.5031585097312927,1173.3109130859375
29,-73.96672821044922,126.17804718017578,1235.567138671875,0.023979681541426167,-0.17840975678376103,0.6877318821710214,-0.7032921098683215,-13.279970169067383,126.23908233642578,1116.7821044921875,-0.4404036890971295,0.8813187546057546,0.06791611551708238,-0.15719174489416107,-27.83570098876953,-146.26889038085938,1139.0771484375,-67.01033020019531,-111.50863647460938,1140.49462890625,-106.33102416992188,-69.0890884399414,1144.2518310546875,-67.80503845214844,-0.5043025016784668,1173.330322265625
30,-73.9554672241211,126.18232727050781,1235.5499267578125,0.024006611144171488,-0.17833519490958732,0.6877412422372609,-0.7033009488148593,-13.282979965209961,126.23788452148438,1116.791259765625,-0.4404008480277723,0.8813163201865206,0.06792555704185303,-0.15720927304031182,-27.83372688293457,-146.26986694335938,1139.060546875,-67.01097106933594,-111.51244354248047,1140.5142822265625,-106.32829284667969,-69.08888244628906,1144.2421875,-67.80213165283203,-0.5058414340019226,1173.3209228515625
